Product,Brand,Model,URL
portable air conditioner,LG,"10,000 BTU DUAL Inverter Smart Portable Air Conditioner",https://www.lg.com/us/air-conditioners/lg-lp1022fvsm-portable-air-conditioner
portable air conditioner,DeLonghi,PACEX390LVYN6ABK Delonghi Portable Air Conditioners (0151854010) Ver: Us Replacement Parts,https://delonghi.encompass.com/model/DEIPACEX390LVYN6ABK
portable air conditioner,Whynter,"whynter arc-12sd 12,000 btu (6,936 btu sacc) dual hose cooling portable air conditioner",https://www.whynter.com/product/compact-dual-hose-portable-air-conditioner-heater-12000-btu-arc-12sdh/
portable air conditioner,Whynter,"Whynter ARC-122DS 12,000 BTU (7,000 BTU SACC) Elite Dual Hose Portable Air Conditioner, Dehumidifier, and Fan with Activated Carbon Filter and Storage bag, up to 400 sq ft in Grey",https://www.whynter.com/product/elite-dual-hose-portable-air-conditioner-12000-btu-arc-122ds/
portable air conditioner,Whynter,whynter arc-12s platinum 3-in-1 portable air conditioner,https://www.whynter.com/product/compact-portable-air-conditioner-12000-btu-arc-12s/?bvstate=pg:2/ct:q
portable air conditioner,BlackDecker,4000 B T U Portable Air Conditioner with Remote Control,https://www.blackanddecker.com/products/bpact08wt
portable air conditioner,BlackDecker,"7,700 BTU (14,000 BTU ASHRAE) Portable Air Conditioner with Remote Control",https://www.blackanddecker.com/products/bpact14wt
portable air conditioner,BlackDecker,"5,950 BTU (12,000 BTU ASHRAE) Portable Air Conditioner with Remote Control",https://www.blackanddecker.com/products/bpact12wt
portable air conditioner,Hisense,"AP1019CW1G Hisense 10,000 Btu Portable Air Conditioner With Wifi Connected Replacement Parts",https://hisense.encompass.com/model/HISAP1019CW1G
portable air conditioner,Hisense,"8,000 BTU SACC (350 sq. ft.) Smart Portable AC",https://www.hisense-canada.com/en/air-products/all-portable-air-conditioners/AP0822CW1W_8000-btu-sacc-350-sq-ft-smart-portable-ac
portable air conditioner,Midea,"8,000 BTU U-shaped Air Conditioner",https://www.midea.com/us/air-conditioners/window-air-conditioners/8000-btu-u-shaped-air-conditioner-maw08v1qwt
portable air conditioner,Midea,"10,000 BTU / 5800 BTU SACC Midea SmartCool Portable Air Conditioner",https://www.midea.com/us/air-conditioners/portable-air-conditioners/10000-btu-midea-smartcool-portable-air-conditioner-map10s1cwt
portable air conditioner,Midea,"14,000 BTU / 8400 BTU SACC Midea SmartCool Portable Air Conditioner",https://www.midea.com/us/air-conditioners/portable-air-conditioners/14000-btu-midea-smartcool-portable-air-conditioner-map14s1cwt
portable air conditioner,Toshiba,"12,000 BTU / 8,000 SACC PORTABLE AIR CONDITIONER",https://www.toshiba-lifestyle.com/us/air-conditioners/portable-air-conditioners/12000-btu-8000-sacc-portable-air-conditioner1
portable air conditioner,Toshiba,"8,000 BTU / 6,000 SACC PORTABLE AIR CONDITIONER",https://www.toshiba-lifestyle.com/us/air-conditioners/portable-air-conditioners/8000-btu-6000-sacc-portable-air-conditioner
portable air conditioner,Danby,"Danby 14,000 BTU (10,000 SACC) 3-in-1 Portable AC",https://www.danby.com/products/portable-air-conditioners/dpa100e5wdb-6/
portable air conditioner,SereneLife,Compact & Portable Room Air Conditioner,https://serenelifehome.com/products/slpac8
portable air conditioner,Friedrich,ZoneAire Compact,https://www.friedrich.com/consumer/products/zoneaire-compact-portable
portable air conditioner,Keystone,"KEYSTONE 10,000 BTU (6,500 BTU DOE) PORTABLE AIRE CONDITIONER",https://keystone-products.com/keystone-10-000-btu-6-500-btu-doe-portable-aire-conditioner/
portable air conditioner,Frigidaire,3-in-1 Heat/Cool Portable Room Air Conditioner,https://www.frigidaire.com/en/p/home-comfort/air-conditioners/portable-air-conditioners/FHPH142AC1
